passage_id,tradition,work,classical_em,QS,QEF,field_class
PD_VEDANTA__006_0f29d985,vedanta_pd,Upanishads (Paramananda tr.),1.0,0.0,0.0,insufficient
PD_VEDANTA__008_3d98546c,vedanta_pd,Upanishads (Paramananda tr.),1.0,0.0,0.0,metaphor_substrate_only
PD_VEDANTA__012_1ade2cee,vedanta_pd,Upanishads (Paramananda tr.),1.0,0.0,0.0,metaphor_substrate_only
PD_VEDANTA__013_3c25c9d5,vedanta_pd,Upanishads (Paramananda tr.),1.0,0.0,0.0,metaphor_substrate_only
PD_VEDANTA__034_9c5182c4,vedanta_pd,Upanishads (Paramananda tr.),1.0,0.0,0.0,metaphor_substrate_only
PD_VEDANTA__035_10f04977,vedanta_pd,Upanishads (Paramananda tr.),1.0,0.0,0.0,metaphor_substrate_only
PD_VEDANTA__046_e60fd06f,vedanta_pd,Upanishads (Paramananda tr.),1.0,0.0,0.0,metaphor_substrate_only
PD_VEDANTA__048_b3dec2b1,vedanta_pd,Upanishads (Paramananda tr.),1.0,0.0,0.0,insufficient
PD_VEDANTA__049_01b25962,vedanta_pd,Upanishads (Paramananda tr.),1.0,0.0,0.0,metaphor_substrate_only
PD_VEDANTA__050_e6624a54,vedanta_pd,Upanishads (Paramananda tr.),1.0,0.0,0.0,metaphor_substrate_only
