passage_id,tradition,work,quantum_mechanics,QS,QEF,field_class
PD_VEDANTA__006_0f29d985,vedanta_pd,Upanishads (Paramananda tr.),1.0,0.0,0.0,insufficient
PD_VEDANTA__021_9a1c705f,vedanta_pd,Upanishads (Paramananda tr.),0.5,0.0,0.0,metaphor_substrate_only
PD_VEDANTA__069_f01ebfe5,vedanta_pd,Upanishads (Paramananda tr.),0.5,-0.5,0.0,insufficient
PD_VEDANTA__053_c2059922,vedanta_pd,Upanishads (Paramananda tr.),0.25,0.0,0.0,metaphor_substrate_only
PD_VEDANTA__000_ed104077,vedanta_pd,Upanishads (Paramananda tr.),0.0,0.0,0.0,metaphor_substrate_only
PD_VEDANTA__001_e25693b7,vedanta_pd,Upanishads (Paramananda tr.),0.0,0.0,0.0,insufficient
PD_VEDANTA__002_f1f9f2b9,vedanta_pd,Upanishads (Paramananda tr.),0.0,0.0,0.0,metaphor_substrate_only
PD_VEDANTA__003_a5db141c,vedanta_pd,Upanishads (Paramananda tr.),0.0,0.0,0.0,metaphor_substrate_only
PD_VEDANTA__004_c5a49101,vedanta_pd,Upanishads (Paramananda tr.),0.0,0.0,0.0,insufficient
PD_VEDANTA__005_9291e21e,vedanta_pd,Upanishads (Paramananda tr.),0.0,0.0,0.0,insufficient
